purekernel,hybrid
118331562366,120943409256
94351634528,118638348658
92287352416,119137270372
98110439452,121822517372
93932089136,120782147108
94055877432,118547921504
94785489588,121408203252
92839416580,121063123160
94163985090,119496271738
93309037980,118744841878
